,Date,Type,Country,Area,Activity,Sex,Age,Injury,Fatal,Species
47,2018-01-01,Unprovoked,AUSTRALIA,Western Australia,Unidentified,M,18,Injuries to right leg,N,Bull shark
48,2018-01-01,Unprovoked,NEW CALEDONIA,Unidentified,Spearfishing,M,0,Injuries to abdomen and arm,N,"Bull shark, 3 m "
49,2018-01-01,Unprovoked,AUSTRALIA,Queensland,Diving,M,0,Severe laceration to left forearm,N,Grey reef shark. 2 m
50,2018-01-01,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,"White shark, 3.5 m"
51,2018-01-01,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,small shark
52,2018-01-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,Foot bitten,N,Wobbegong shark?
53,2017-12-01,Unprovoked,USA,Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark
54,2017-12-01,Unprovoked,USA,California,Surfing,F,35,Foot bitten,N,Unidentified
55,2017-12-01,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark
56,2017-12-01,Unprovoked,BAHAMAS,Unidentified,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5'
57,2017-11-01,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female"
58,2017-11-01,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,49,FATAL,Y,"Tiger shark, female"
59,2017-11-01,Sea Disaster,LIBYA,Unidentified,2 boats capsized,Unidentified,0,FATAL,Y,Some drowned but other may have been killed by blue sharks
60,2017-11-01,Unprovoked,USA,California,Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m"
61,2017-11-01,Unprovoked,USA,Florida,Surfing,F,14,Heel bitten,N,Unidentified
62,2017-11-01,Unprovoked,Unidentified,Unidentified,Surfing,M,24,Puncture wounds to feet,N,Unidentified
63,2017-11-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark
64,2017-11-01,Unprovoked,CUBA,Holquin Province,Night bathing,M,22,FATAL,Y,Tiger shark
65,2017-10-01,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,7,Calf injured,N,Cookiecutter shark
66,2017-10-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m"
67,2017-10-01,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,0,No injury but shark bit SUP,N,Unidentified
68,2017-10-01,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,0,Minor injury to foot,N,Unidentified
69,2017-10-01,Unprovoked,USA,Florida,Surfing ,M,17,Lacerations to left foot,N,Unidentified
70,2017-10-01,Unprovoked,USA,Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,Unidentified
71,2017-10-01,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m"
72,2017-10-01,Unprovoked,NEW ZEALAND,North Island,Kayaking,M,0,"No injury, shark shook kayak x3 ",N,2 m shark
73,2017-10-01,Unprovoked,USA,Florida,Swimming,M,0,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet"
74,2017-10-01,Unprovoked,USA,Hawaii,Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet"
75,2017-10-01,Unprovoked,USA,Hawaii,Snorkeling,F,40,Abrasions,N,8' shark
76,2017-10-01,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,31,FATAL,Unidentified,Death may have been due to drowning
77,2017-09-01,Unprovoked,USA,Florida,Surfing,M,0,Lacerations to lower left leg and foot,N,5' shark
78,2017-09-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, board damaged by shark",N,"White shark, 3.5 m"
79,2017-09-01,Invalid,USA,New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",Unidentified,Questionable
80,2017-09-01,Unprovoked,USA,Florida,Surfing,M,0,Laceration to upper arm,N,4' to 5' shark
81,2017-09-01,Unprovoked,USA,Florida,Surfing,M,0,Minor lacerations to sole of left foot,N,Unidentified
82,2017-09-01,Unprovoked,SPAIN,Canary Islands,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m"
83,2017-09-01,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to left foot,N,Unidentified
84,2017-09-01,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",Unidentified,Unidentified
85,2017-09-01,Unidentified,SAMOA, Upolu Island,Fishing,M,0,Injuries to hands and legs,N,Unidentified
86,2017-09-01,Boating,AUSTRALIA,Westerm Australia,Fishing,Unidentified,0,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m"
87,2017-09-01,Unprovoked,USA,Florida,Surfing,M,18,Lacerations to left foot,N,5' to 6' shark
88,2017-09-01,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,0,Minor injuries,N,Unidentified
89,2017-09-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m "
90,2017-09-01,Unprovoked,SOLOMON ISLANDS,Unidentified,Spearfishing,M,0,Foot bitten,N,Unidentified
91,2017-09-01,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,0,FATAL,Y,Unidentified
92,2017-09-01,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,Unidentified
93,2017-09-01,Unprovoked,USA,Florida,Swimming,M,0,Lacerations to abdomen,N,Nurse shark
94,2017-09-01,Unprovoked,USA,Texas,Swimming,F,0,Lacerations to foot,N,Unidentified
95,2017-09-01,Unprovoked,USA,Florida,Surfing,M,17,Minor injury to right hand,N,Unidentified
96,2017-08-01,Unprovoked,AUSTRALIA,Victoria,Surfing,M,37,"No injury, board bitten",N,"White shark, 3 m"
97,2017-08-01,Unprovoked,USA,Florida,Wading,F,3,Leg injured,N,Unidentified
98,2017-08-01,Invalid,SPAIN,Castell�n,Swimming,F,11,Lacerations to left foot,Unidentified,Shark involvement questionable
99,2017-08-01,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,0,"No injury, shark bit canoe",N,Unidentified
100,2017-08-01,Unprovoked,USA,Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'"
101,2017-08-01,Unprovoked,BAHAMAS,Unidentified,Spearfishing,M,0,Hand injured,N,5' shark
102,2017-08-01,Unprovoked,USA,South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark
103,2017-08-01,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m"
104,2017-08-01,Provoked,USA,Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark
105,2017-08-01,Boating,USA,California,Kayaking / Fishing,M,0,"No injury, bow of kayak bitten",N,"White shark, 10'"
106,2017-07-01,Unprovoked,USA,Florida,Skimboarding,M,15,Lacerations to lower leg,N,Unidentified
107,2017-07-01,Invalid,USA,South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,Unidentified,A small shark
108,2017-07-01,Unprovoked,USA,South Carolina,Unidentified,F,12,Bite to left thigh / minor injury,N,Unidentified
109,2017-07-01,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,0,Foot & ankle injured,N,Unidentified
110,2017-07-01,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,0,Severe lacerations to left hand,N,Unidentified
111,2017-07-01,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,37,Torso bitten,N,Unidentified
112,2017-07-01,Unprovoked,USA,New Jersey,Unidentified,F,0,Minor injury to hand,N,Sandtiger shark  2'
113,2017-07-01,Unprovoked,SPAIN,Majorca,Swimming,F,0,Abrasion to arm from shark's rough skin,N,Blue shark 6'
114,2017-07-01,Unprovoked,USA,Florida,Unidentified,F,40,Foot bitten,N,"""A small shark"""
115,2017-07-01,Invalid,USA,South Carolina,Swimming,F,8,Foot injured,Unidentified,Shark involvement not confirmed
116,2017-07-01,Boating,USA,California,Kayaking,M,40,"No injury, kayak bitten",N,"White shark, 11' to 13'"
117,2017-07-01,Unprovoked,USA,California,SUP,M,50,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'"
118,2017-07-01,Unprovoked,USA,Washington,Surfing,M,0,Pulled off board by shark but no injury,N,"White shark, 9'"
119,2017-07-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"Minor injury, grazed by shark",N,Unidentified
120,2017-07-01,Boating,USA,California,Kayaking,M,0,"No injury, kayak bitten",N,White shark
121,2017-07-01,Unprovoked,USA,Florida,Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'"
122,2017-07-01,Provoked,MEXICO,Tabasco,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg"
123,2017-07-01,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,"White shark, 2.5 m"
124,2017-07-01,Invalid,COMOROS,Anjouan,Fishing,Unidentified,0,"Skull found in shark, a probable drowning & scavenging",Unidentified,Shark involvement prior to death not confirmed
125,2017-06-01,Invalid,USA,South Carolina,Fishing,M,0,"Arm injured by hook, not by a shark",Unidentified,No shark invovlement 
126,2017-06-01,Unprovoked,USA,South Carolina,Swimming,F,16,Left foot bitten,N,Unidentified
127,2017-06-01,Unprovoked,USA,Florida,Surfing,M,0,1 to 2-inch laceration behind knee,N,Unidentified
128,2017-06-01,Unprovoked,USA,South Carolina,Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'"
129,2017-06-01,Unprovoked,REUNION,Unidentified,Body boarding,M,34,"No injury, shark bit surfboard ",N,"Bull shark, 2m"
130,2017-06-01,Unprovoked,SPAIN,Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,Unidentified
131,2017-06-01,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,0,Injuries to hand and wrist,N,Unidentified
132,2017-06-01,Unprovoked,BAHAMAS,Unidentified,Feeding sharks,F,0,Fingernail pulled off ,N,Unidentified
133,2017-06-01,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,48,"No injury, board bitten",N,"White shark, 4 m"
134,2017-06-01,Unprovoked,AUSTRALIA,Victoria,Surfing,F,0,"No injury, knocked off board",N,Seven-gill shark
135,2017-06-01,Unprovoked,USA,Florida,Surfing,M,19,Laceration to left foot,N,Unidentified
136,2017-06-01,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound"
137,2017-06-01,Unprovoked,USA,Florida,Spearfishing,M,0,Laceration to shin,N,8' shark
138,2017-06-01,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,32,Right forearm severed ,N,Tiger shark
139,2017-05-01,Provoked,USA,South Carolina,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark
140,2017-05-01,Unprovoked,USA,Florida,Feeding sharks,M,0,Lacerations to right arm,N,Tiger shark
141,2017-05-01,Invalid,AUSTRALIA,New South Wales,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,Unidentified
142,2017-05-01,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,41,Right leg severely bitten,N,Unidentified
143,2017-05-01,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,9' shark
144,2017-05-01,Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,33,FATAL,Y,Unidentified
145,2017-05-01,Invalid,USA,California,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",Unidentified,Shark involvement highly doubtful
146,2017-04-01,Unprovoked,USA,California,Swimming,F,0,Major injury to posterior thigh,N,Unidentified
147,2017-04-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,14,Minor injury to right calf,N,Unidentified
148,2017-04-01,Unprovoked,USA,South Carolina,Surfing,F,33,Left foot bitten,N,Unidentified
149,2017-04-01,Unprovoked,REUNION,Saint-Leu,Body boarding,M,28,FATAL,Y,Unidentified
150,2017-04-01,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,0,Puncture wounds & laceration above knee,N,Unidentified
151,2017-04-01,Invalid,USA,Florida,Photo shoot,F,0,Alleged laceration to left ankle,Unidentified,No shark invovlement - it ws a publicity stunt
152,2017-04-01,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,Unidentified
153,2017-04-01,Invalid,USA,South Carolina,Swimming,M,0,Laceration & puncture wounds to left foot,Unidentified,Shark involvement not confirmed
154,2017-04-01,Unprovoked,USA,Florida,Unidentified,Unidentified,0,Minor bite to the foot,N,Unidentified
155,2017-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,17,FATAL,Y,White shark
156,2017-04-01,Unprovoked,USA,Hawaii,Surfing,M,28,Lower right leg severely injured,N,"Tiger shark, 12'"
157,2017-04-01,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right foot,N,Unidentified
158,2017-04-01,Unprovoked,USA,Florida,Surfing,F,0,Lacerations to right foot,N,Unidentified
159,2017-04-01,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Unidentified,Shark involvement prior to death not confirmed
160,2017-04-01,Unprovoked,USA,Florida,Surfing,F,35,Calf bitten,N,Unidentified
161,2017-04-01,Unprovoked,USA,Florida,Paddle boarding,F,10,Laceration to calf,N,Unidentified
162,2017-04-01,Unprovoked,USA,Florida,Swimming,F,21,Minor injury to left hand,N,Unidentified
163,2017-04-01,Unprovoked,USA,Florida,Swimming,M,16,Foot injured,N,Unidentified
164,2017-04-01,Unprovoked,USA,Florida,Swimming,F,51,"Thigh nipped, minor injury",N,Unidentified
165,2017-04-01,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Unidentified
166,2017-04-01,Unprovoked,USA,Florida,Swimming,F,17,Lacerations to thighs,N,"Bull shark, 5' to 7'"
167,2017-03-01,Unprovoked,USA,Florida,Surfing,M,58,Minor injury to left foot,N,Unidentified
168,2017-03-01,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,30,Minor,N,Unidentified
169,2017-03-01,Boating,USA,California,Kayaking,M,0,"No injury, kayak bitten",N,White shark
170,2017-03-01,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,25,Right thigh injured ,N,10' shark
171,2017-03-01,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark
172,2017-02-01,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,0,Hand bitten,N,"Bull shark, 1.5"
173,2017-02-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, shark struck board",N,Unidentified
174,2017-02-01,Unprovoked,REUNION,Saint-Andre,Body boarding,M,26,Fatal,Y,Unidentified
175,2017-02-01,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,26,Left leg severely bitten,N,Unidentified
176,2017-02-01,Unprovoked,USA,Florida,Swimming,M,22,Injury to hand,N,Unidentified
177,2017-02-01,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,0,"Minor injury to finger, PROVOKED INCIDENT",N,Lemon shark pup
178,2017-02-01,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,0,"Shark damaged kayak, no injury to occupant",N,Tiger shark
179,2017-02-01,Boating,USA,South Carolina,Tagging sharks,Unidentified,0,"Shark bit boat, no injury to occupants",N,"White shark, female, 14'"
180,2017-02-01,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark
181,2017-01-01,Unprovoked,BRAZIL,Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,Unidentified
182,2017-01-01,Unprovoked,USA,Florida,Unidentified,M,0,Puncture wounds to lower arm or hand,N,Unidentified
183,2017-01-01,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m"
184,2017-01-01,Unprovoked,AUSTRALIA,Queensland,Swimming,M,57,Injury to hand,N,Unidentified
185,2017-01-01,Unprovoked,USA,Florida,Unidentified,M,0,Minor injury to hand,N,Unidentified
186,2017-01-01,Unprovoked,INDONESIA,Bali,Surfing,M,48,Injury to right wrist & forearm,N,"Bull shark, 1 m"
187,2017-01-01,Invalid,AUSTRALIA,Queensland,Spearfishing,M,35,"No attack, shark made a threat display",Unidentified,Bull shark
188,2017-01-01,Unprovoked,USA,Florida,Wading,M,47,Minor injuries to foot,N,Unidentified
189,2017-01-01,Invalid,AUSTRALIA,New South Wales,Wading,M,20,Minor injuries to foot & toes,Unidentified,Shark involvement not confirmed
190,2016-12-01,Unprovoked,USA,Florida,Surfing,M,16,Lacerations to right forearm,N,Unidentified
191,2016-12-01,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,0,Buttock bitten,N,a small shark
192,2016-12-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,"White shark, 4 m"
193,2016-12-01,Unprovoked,AUSTRALIA,Western Australia,Free diving,M,61,Punctures to left foot/ankle,N,Unidentified
194,2016-12-01,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,0,Hand injured?,N,Unidentified
195,2016-12-01,Invalid,USA,Florida,Surfing,M,19,Cuts to right ankle & foot,Unidentified,Shark involvement not confirmed
196,2016-12-01,Provoked,AUSTRALIA,New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 2m"
197,2016-12-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,65,Injuries to foot & arm,N,White shark
198,2016-11-01,Provoked,AUSTRALIA,Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,"Broadnose sevengill shark, 1.5 m"
199,2016-11-01,Unprovoked,USA,Hawaii,Floating,F,58,Injuries to right calf and thigh,N,Tiger shark
200,2016-10-01,Unprovoked,USA,Florida,Surfing,M,41,Lacerations to right foot and ankle,N,Unidentified
201,2016-10-01,Unprovoked,USA,Florida,Surfing,M,42,Lacerations to right hand,N,Unidentified
202,2016-10-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,36,Lacerations to left thigh,N,Unidentified
203,2016-10-01,Unprovoked,USA,Hawaii,Surfing,M,36,Left arm and leg injured,N, 6' to 8' shark
204,2016-10-01,Unprovoked,AUSTRALIA,Queensland,Surfing,M,0,Torso nipped,N,Unidentified
205,2016-10-01,Unprovoked,USA,Hawaii,Snorkeling,F,66,Injuries to left calf,N,Unidentified
206,2016-10-01,Invalid,MEXICO,Unidentified,Cage Diving,M,0,"Shark breached cage, no injury to diver",Unidentified,White shark
207,2016-10-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,Unidentified
208,2016-10-01,Unprovoked,USA,Oregon,Surfing,M,29,Wounds to upper thigh and lower leg,N,Unidentified
209,2016-10-01,Unprovoked,USA,Florida,Surfing,M,21,Cuts to dorsal surface of left foot,N,Unidentified
210,2016-10-01,Unprovoked,USA,Florida,Surfng,M,32,Minor injuries,N,Unidentified
211,2016-09-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,"White shark, 3.5 m"
212,2016-09-01,Unprovoked,USA,Florida,Surfing,M,16,Minor injury to thigh,N,Unidentified
213,2016-09-01,Unprovoked,USA,Florida,Surfing,M,36,Lacerations to hands,N,Unidentified
214,2016-09-01,Unprovoked,USA,Florida,Surfing,M,43,Lacerations to lower leg,N,Unidentified
215,2016-09-01,Unprovoked,USA,California,Surfing,M,43,"No injury, board bitten",N,Unidentified
216,2016-09-01,Unprovoked,AUSTRALIA,Victoria,Surfing,M,0,Struck by fin on chest & leg,N,Unidentified
217,2016-09-01,Unprovoked,AUSTRALIA,Victoria,Surfing,M,0,No injury: Knocked off board by shark,N,2 m shark
218,2016-09-01,Boating,AUSTRALIA,Western Australia,Fishing,Unidentified,0,Shark rammed boat. No injury to occupant,N,Unidentified
219,2016-09-01,Unprovoked,USA,Florida,Wading,M,0,Minor injury to arm,N,3' to 4' shark
220,2016-09-01,Unprovoked,USA,Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'"
221,2016-09-01,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,50,FATAL,Y,Unidentified
222,2016-09-01,Unprovoked,USA,South Carolina,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Unidentified
223,2016-09-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No inury, board broken in half by shark",N,Unidentified
224,2016-09-01,Unprovoked,USA,Florida,Body boarding,M,9,Foot bitten,N,Unidentified
225,2016-09-01,Unprovoked,USA,California,Spearfishing,M,22,Two toes broken & lacerated,N,"White shark, 8' to 10'"
