,Year,Month,Activity,Type,Fatal
160,2017,Apr,Surfing,Unprovoked,0
161,2017,Apr,Paddle boarding,Unprovoked,0
162,2017,Apr,Swimming,Unprovoked,0
163,2017,Apr,Swimming,Unprovoked,0
164,2017,Apr,Swimming,Unprovoked,0
165,2017,Apr,Kakaying,Unprovoked,0
166,2017,Apr,Swimming,Unprovoked,0
167,2017,Mar,Surfing,Unprovoked,0
168,2017,Mar,Body boarding,Unprovoked,0
169,2017,Mar,Kayaking,Unprovoked,0
170,2017,Mar,Spearfishing,Unprovoked,0
171,2017,Mar,Washing hands,Unprovoked,0
172,2017,Feb,Snorkeling,Unprovoked,0
173,2017,Feb,Surfing,Unprovoked,0
174,2017,Feb,Body boarding,Unprovoked,1
175,2017,Feb,Spearfishing,Unprovoked,0
176,2017,Feb,Swimming,Unprovoked,0
177,2017,Feb,Grabbing shark for a selfie,Provoked,0
178,2017,Feb,Kayak fishing,Unprovoked,0
179,2017,Feb,Tagging sharks,Unprovoked,0
180,2017,Feb,Scuba Diving,Unprovoked,0
181,2017,Jan,Swimming,Unprovoked,0
183,2017,Jan,Scuba Diving,Unprovoked,0
184,2017,Jan,Swimming,Unprovoked,0
186,2017,Jan,Surfing,Unprovoked,0
188,2017,Jan,Wading,Unprovoked,0
190,2016,Dec,Surfing,Unprovoked,0
191,2016,Dec,Snorkeling,Unprovoked,0
192,2016,Dec,Surf skiing ,Unprovoked,0
193,2016,Dec,Free diving,Unprovoked,0
194,2016,Dec,Fishing,Unprovoked,0
196,2016,Dec,Surf fishing,Provoked,0
197,2016,Dec,Surfing,Unprovoked,0
198,2016,Nov,Fishing,Provoked,0
199,2016,Nov,Floating,Unprovoked,0
200,2016,Oct,Surfing,Unprovoked,0
201,2016,Oct,Surfing,Unprovoked,0
202,2016,Oct,Surfing,Unprovoked,0
203,2016,Oct,Surfing,Unprovoked,0
204,2016,Oct,Surfing,Unprovoked,0
205,2016,Oct,Snorkeling,Unprovoked,0
207,2016,Oct,Surfing,Unprovoked,0
208,2016,Oct,Surfing,Unprovoked,0
209,2016,Oct,Surfing,Unprovoked,0
210,2016,Oct,Surfng,Unprovoked,0
211,2016,Sep,Surfing,Unprovoked,0
212,2016,Sep,Surfing,Unprovoked,0
213,2016,Sep,Surfing,Unprovoked,0
214,2016,Sep,Surfing,Unprovoked,0
215,2016,Sep,Surfing,Unprovoked,0
216,2016,Sep,Surfing,Unprovoked,0
217,2016,Sep,Surfing,Unprovoked,0
218,2016,Sep,Fishing,Unprovoked,0
219,2016,Sep,Wading,Unprovoked,0
220,2016,Sep,Swimming,Unprovoked,0
221,2016,Sep,Kite surfing,Unprovoked,1
222,2016,Sep,Boogie boarding,Unprovoked,0
223,2016,Sep,Surfing,Unprovoked,0
224,2016,Sep,Body boarding,Unprovoked,0
225,2016,Sep,Spearfishing,Unprovoked,0
227,2016,Aug,Surfing,Unprovoked,0
228,2016,Aug,Surfing,Unprovoked,0
229,2016,Aug,Surfing,Unprovoked,0
230,2016,Aug,Wading,Unprovoked,0
231,2016,Aug,Snorkeling,Unprovoked,0
232,2016,Aug,SUP Foil boarding,Unprovoked,0
233,2016,Aug,Surfing,Unprovoked,0
234,2016,Jul,Swimming,Unprovoked,0
235,2016,Jul,Swimming,Unprovoked,0
236,2016,Jul,Kayaking,Unprovoked,0
237,2016,Jul,Lobstering,Provoked,0
238,2016,Jul,Surfing,Unprovoked,0
239,2016,Jul,Surfing,Unprovoked,0
240,2016,Jul,Surfing,Unprovoked,0
241,2016,Jul,Spearfishing,Unprovoked,0
242,2016,Jul,Fishing,Provoked,0
243,2016,Jul,Fishing in Alabama Deep Fishing Rodeo,Unprovoked,0
244,2016,Jul,Surfing,Unprovoked,0
246,2016,Jul,Kite surfing,Unprovoked,0
247,2016,Jul,Swimming,Unprovoked,0
248,2016,Jul,Scuba Diving,Unprovoked,0
249,2016,Jul,Wading,Unprovoked,0
250,2016,Jul,Fishing for squid,Unprovoked,0
251,2016,Jul,Fishing,Provoked,0
252,2016,Jul,Fishing for sharks,Unprovoked,0
253,2016,Jul,Swimming,Unprovoked,0
254,2016,Jul,Fishing,Provoked,0
256,2016,Jun,Surfing,Unprovoked,0
257,2016,Jun,Scuba Diving,Unprovoked,0
258,2016,Jun,Spearfishing,Unprovoked,0
259,2016,Jun,Floating,Unprovoked,0
260,2016,Jun,Wading,Unprovoked,0
261,2016,Jun,Surfing,Unprovoked,0
262,2016,Jun,Spearfishing,Provoked,0
263,2016,Jun,Floating in tube,Unprovoked,0
264,2016,Jun,Standing,Unprovoked,0
266,2016,Jun,Swimming,Unprovoked,0
267,2016,Jun,Diving,Unprovoked,1
268,2016,Jun,Swimming,Unprovoked,0
270,2016,Jun,Kite surfing,Unprovoked,0
271,2016,May,Surfing,Unprovoked,1
272,2016,May,Swimming,Unprovoked,0
273,2016,May,Swimming,Unprovoked,0
274,2016,May,Swimming,Unprovoked,0
275,2016,May,Swimming,Unprovoked,0
276,2016,May,Swimming,Unprovoked,0
277,2016,May,Swimming,Unprovoked,0
278,2016,May,Teasing a shark,Provoked,0
279,2016,May,Floating,Unprovoked,0
280,2016,May,Fishing,Provoked,0
281,2016,Apr,Surfing,Unprovoked,0
282,2016,Apr,Surfing,Unprovoked,0
283,2016,Apr,Surf-skiing,Unprovoked,0
284,2016,Apr,Swimming,Unprovoked,0
285,2016,Apr,Spearfishing,Provoked,M
286,2016,Apr,Spearfishing,Provoked,0
287,2016,Apr,Spearfishing,Unprovoked,0
288,2016,Apr,Walking,Unprovoked,1
290,2016,Apr,Fishing,Unprovoked,0
292,2016,Mar,Snorkeling,Unprovoked,0
293,2016,Mar,Surfing,Unprovoked,0
295,2016,Mar,Surfing,Unprovoked,0
298,2016,Mar,Body surfing,Unprovoked,0
299,2016,Mar,Diving for beche-de-mer,Unprovoked,1
301,2016,Mar,Fishing,Unprovoked,0
302,2016,Mar,Swimming,Unprovoked,0
303,2016,Feb,Kite surfing,Unprovoked,0
304,2016,Feb,Spearfishing,Unprovoked,0
305,2016,Feb,Wading,Unprovoked,0
308,2016,Feb,Walking,Unprovoked,0
309,2016,Feb,Windsurfing,Unprovoked,0
310,2016,Feb,Swimming,Unprovoked,0
311,2016,Jan,Kayak fishing,Unprovoked,0
312,2016,Jan,Surfing,Unprovoked,0
313,2016,Jan,Surfing,Unprovoked,0
314,2016,Jan,Spearfishing,Unprovoked,0
315,2016,Jan,Fishing,Unprovoked,0
316,2016,Jan,Paddle boarding,Unprovoked,0
317,2016,Jan,Surfing,Unprovoked,0
318,2016,Jan,Wading,Unprovoked,0
319,2016,Jan,Spearfishing,Unprovoked,0
320,2015,Dec,Kayak Fishing,Unprovoked,0
321,2015,Dec,Swimming,Unprovoked,0
322,2015,Dec,Paddle boarding,Unprovoked,0
323,2015,Dec,Surfing,Unprovoked,0
324,2015,Dec,Scuba diving,Unprovoked,0
325,2015,Dec,Sea disaster,Unprovoked,1
326,2015,Dec,Fishing,Unprovoked,0
327,2015,Dec,Lobster fishing,Unprovoked,0
328,2015,Dec,Swimming / Wading,Unprovoked,0
329,2015,Nov,Snorkeling,Unprovoked,0
330,2015,Nov,Surfing,Unprovoked,0
331,2015,Nov,Swimming,Unprovoked,0
332,2015,Nov,Surfing,Unprovoked,0
333,2015,Nov,Surfing,Unprovoked,0
335,2015,Nov,Swimming,Unprovoked,0
336,2015,Nov,Wading,Unprovoked,0
337,2015,Nov,Fishing,Unprovoked,0
338,2015,Oct,Spearfishing,Unprovoked,0
339,2015,Oct,Body boarding,Unprovoked,0
340,2015,Oct,Surfing,Unprovoked,0
341,2015,Oct,Surfing,Unprovoked,0
342,2015,Oct,Surfing,Unprovoked,0
343,2015,Oct,Fishing for shrimp,Unprovoked,1
345,2015,Oct,Swimming,Unprovoked,0
346,2015,Oct,Kayak Fishing,Unprovoked,0
347,2015,Oct,Boogie boarding,Unprovoked,0
348,2015,Oct,Surfing,Unprovoked,0
349,2015,Oct,Fishing,Unprovoked,0
350,2015,Oct,Surfing,Unprovoked,0
351,2015,Oct,Body boarding,Unprovoked,0
352,2015,Oct,Wading,Unprovoked,0
353,2015,Oct,Surfing,Unprovoked,0
354,2015,Sep,Surfing,Unprovoked,0
355,2015,Sep,Snorkeling,Unprovoked,0
356,2015,Sep,Kayak fishing,Unprovoked,0
357,2015,Sep,Surfing,Unprovoked,0
358,2015,Sep,Spearfishing,Unprovoked,0
359,2015,Sep,Wading,Unprovoked,0
360,2015,Sep,Photographing fish,Unprovoked,0
361,2015,Sep,Kayak Fishing,Unprovoked,0
362,2015,Sep,Swimming,Unprovoked,0
363,2015,Sep,Surfing,Unprovoked,0
364,2015,Sep,Surfing,Unprovoked,0
365,2015,Sep,Stand-Up Paddleboarding,Unprovoked,0
366,2015,Sep,Kayak Fishing,Provoked,0
367,2015,Sep,Surf-skiing,Unprovoked,0
369,2015,Sep,Wading,Unprovoked,0
370,2015,Sep,Spearfishing,Unprovoked,0
371,2015,Aug,Surfing,Unprovoked,0
372,2015,Aug,Surfing,Unprovoked,0
374,2015,Aug,Surfing,Unprovoked,0
375,2015,Aug,Surfing,Unprovoked,0
376,2015,Aug,Walking,Unprovoked,0
377,2015,Aug,Kayak Fishing,Unprovoked,0
379,2015,Aug,Spearfishing,Provoked,0
380,2015,Jul,Surfing,Unprovoked,0
381,2015,Jul,Surfing,Unprovoked,0
383,2015,Jul,Surfing,Unprovoked,0
385,2015,Jul,Scallop diving on hookah,Unprovoked,1
386,2015,Jul,Kayak Fishing,Provoked,0
387,2015,Jul,Surfing,Unprovoked,0
388,2015,Jul,Surfing,Unprovoked,0
389,2015,Jul,Surfing,Unprovoked,0
390,2015,Jul,Surfing,Unprovoked,0
393,2015,Jul,Spearfishing,Unprovoked,0
395,2015,Jul,Surfing,Unprovoked,0
396,2015,Jul,Body boarding ,Unprovoked,0
397,2015,Jul,Swimming,Unprovoked,0
398,2015,Jun,Surfing,Unprovoked,0
399,2015,Jun,Playing in the water,Unprovoked,0
400,2015,Jun,Swimming,Unprovoked,0
401,2015,Jun,Body Boarding,Unprovoked,0
403,2015,Jun,Surfing,Unprovoked,0
404,2015,Jun,Standing,Unprovoked,0
405,2015,Jun,Swimming,Provoked,0
406,2015,Jun,Body surfing?,Unprovoked,0
407,2015,Jun,Swimming,Unprovoked,0
408,2015,Jun,Surfing,Invalid,0
409,2015,Jun,Standing,Unprovoked,0
410,2015,Jun,Spearfishing,Unprovoked,0
411,2015,Jun,Swimming,Unprovoked,0
412,2015,Jun,Wading,Unprovoked,0
413,2015,Jun,Wading,Unprovoked,0
415,2015,Jun,Boogie boarding,Unprovoked,0
416,2015,Jun,Playing,Unprovoked,0
417,2015,Jun,Attempting to rescue a shark,Unprovoked,0
418,2015,Jun,Surfing,Unprovoked,0
419,2015,May,Standing,Unprovoked,0
420,2015,May,Wading,Unprovoked,0
421,2015,May,Spearfishing,Unprovoked,0
422,2015,May,Swimming,Unprovoked,0
423,May2,20,Surfing,Unprovoked,0
425,2015,May,Snorkeling,Unprovoked,1
426,2015,May,Swimming,Unprovoked,0
427,2015,May,Surfing,Unprovoked,0
428,2015,May,Diving,Unprovoked,0
429,2015,Apr,Snorkeling,Unprovoked,1
430,2015,Apr,Wading,Unprovoked,0
431,2015,Apr,Surfing,Unprovoked,0
432,2015,Jun,Surf skiing ,Unprovoked,0
433,2015,Apr,Photographing the shark,Unprovoked,0
434,2015,Apr,Surfing,Unprovoked,1
435,2015,Apr,Paddle boarding,Unprovoked,0
436,2015,Apr,Spearfishing,Unprovoked,0
439,2015,Mar,Kayak Fishing,Unprovoked,0
440,2015,Mar,Swimming,Unprovoked,1
441,2015,Mar,Standing / Snorkeling,Unprovoked,0
442,2015,Mar,Hand feeding sharks,Unprovoked,0
443,2015,Mar,Fishing,Unprovoked,0
444,2015,Mar,Fishing,Provoked,0
445,2015,Mar,Sitting in the water,Unprovoked,0
446,2015,Feb,Transatlantic Rowing,Unprovoked,0
447,2015,Feb,Swimming,Unprovoked,1
448,2015,Feb,Surfing,Unprovoked,1
449,2015,Feb,Surfing,Unprovoked,0
450,2015,Feb,Bodysurfing,Unprovoked,0
451,2015,Jan,Rowing,Unprovoked,0
452,2015,Jan,Shark fishing,Provoked,0
453,2015,Jan,Surfing,Unprovoked,0
454,2015,Jan,Floating,Unprovoked,0
455,2015,Jan,Fishing,Unprovoked,0
457,2015,Jan,Fishing,Unprovoked,0
458,2015,Jan,Filming,Unprovoked,0
460,2015,Jan,Snorkeling,Unprovoked,0
461,2015,Jan,Surfing,Unprovoked,0
463,2014,Dec,Surfing,Unprovoked,0
464,2014,Dec,Spearfishing,Unprovoked,1
467,2014,Dec,Surfing,Unprovoked,0
468,2014,Dec,Fishing,Provoked,0
469,2014,Dec,Diving / Filming,Unprovoked,0
470,2014,Dec,Spearfishing,Unprovoked,1
471,2014,Dec,Fishing for blue sharks,Provoked,0
472,2014,Nov,Surfing,Unprovoked,0
473,2014,Nov,Fishing,Provoked,1
474,2014,Nov,Fishing,Unprovoked,0
476,2014,Nov,Surfing,Unprovoked,0
477,2014,Nov,Snorkeling,Unprovoked,0
478,2014,Nov,Surfing,Unprovoked,0
479,2014,Nov,Surfing,Unprovoked,0
480,2014,Oct,Surfing,Unprovoked,0
481,2014,Oct,Surfing,Provoked,0
482,2014,Oct,Stand-Up Paddleboarding,Unprovoked,0
483,2014,Oct,Stand-Up Paddleboarding,Unprovoked,0
484,2014,Oct,Canoeing,Unprovoked,0
485,2014,Oct,Surfing,Unprovoked,0
486,2014,Oct,Surfing,Unprovoked,0
487,2014,Oct,Standing in inner tube,Unprovoked,0
488,2014,Oct,Body surfing or Boogie boarding,Unprovoked,0
489,2014,Oct,Kayaking,Unprovoked,0
490,2014,Oct,Surfing,Unprovoked,0
491,2014,Oct,Fishing,Unprovoked,0
492,2014,Oct,Surfing,Unprovoked,0
493,2014,Oct,Kayaking,Unprovoked,0
494,2014,Oct,Kayaking ,Unprovoked,0
495,2014,Oct,Surfing,Unprovoked,0
496,2014,Oct,Surfing,Unprovoked,0
497,2014,Sep,Surfing,Unprovoked,0
498,2014,Sep,Feeding fish,Unprovoked,0
500,2014,Sep,Swimming,Unprovoked,1
501,2014,Sep,Fishing ,Unprovoked,0
502,2014,Sep,Kayaking ,Unprovoked,0
503,2014,Sep,Fishing,Provoked,0
504,2014,Sep,Playing with an air mattress,Unprovoked,0
505,2014,Aug,Body surfing,Unprovoked,0
506,2014,Aug,Surfing,Unprovoked,0
508,2014,Aug,Fishing,Provoked,0
509,2014,Aug,Swimming,Unprovoked,0
510,2014,Aug,Surfing,Unprovoked,0
511,2014,Aug,Standing,Unprovoked,0
512,2014,Aug,Fishing for sharks,Provoked,0
513,2014,Aug,Kite boarding,Unprovoked,0
514,2014,Aug,Spearfishing,Unprovoked,0
515,2014,Aug,Standing,Unprovoked,0
517,2014,Aug,Spearfishing,Unprovoked,0
518,2014,Aug,Swimming,Unprovoked,0
519,2014,Aug,Swimming,Unprovoked,0
520,2014,Aug,Boogie boarding,Unprovoked,0
521,2014,Aug,Swimming,Unprovoked,0
522,2014,Aug,Surfing,Unprovoked,0
523,2014,Aug,Boogie boarding,Unprovoked,0
524,2014,Aug,Surfing,Unprovoked,0
526,2014,Jul,Swimming,Unprovoked,0
527,2014,Jul,Surfing,Unprovoked,0
528,2014,Jul,Standing,Unprovoked,0
529,2014,Jul,Wading,Unprovoked,0
530,2014,Jul,Swimming,Unprovoked,0
531,2014,Jul,Swimming,Unprovoked,0
533,2014,Jul,Body surfing,Unprovoked,0
534,2014,Jul,Surfing,Unprovoked,0
535,2014,Jul,Swimming,Provoked,0
536,2014,Jul,Surfing,Unprovoked,0
537,2014,Jul,Body surfing,Unprovoked,0
538,2014,Jun,Transatlantic Rowing,Unprovoked,0
539,2014,Jun,Spearfishing,Unprovoked,0
540,2014,Jun,Surfing,Unprovoked,0
541,2014,Jun,Body boarding,Unprovoked,0
542,2014,Jun,Petting a shark,Provoked,0
543,2014,Jun,Fishing,Unprovoked,0
544,2014,Jun,Standing,Unprovoked,0
545,2014,Jun,Body boarding,Unprovoked,0
546,2014,Jun,Surfing,Unprovoked,0
547,2014,Jun,Kneeling in the water,Unprovoked,0
548,2014,Jun,Swimming,Unprovoked,0
549,2014,Jun,Surfing,Unprovoked,0
550,2014,Jun,Tagging sharks,Unprovoked,0
551,2014,May,Fell into the water,Unprovoked,0
552,2014,May,Scuba diving,Unprovoked,0
553,2014,May,Teasing a shark,Provoked,0
554,2014,May,Body boarding,Unprovoked,0
555,2014,May,Surfing,Unprovoked,0
556,May2,13,Wading,Unprovoked,0
557,2014,May,Surfing,Unprovoked,0
559,2014,May,Swimming,Unprovoked,0
560,2014,May,Diving,Unprovoked,0
561,2014,May,Surfing,Unprovoked,0
562,2014,Apr,Spearfishing,Unprovoked,0
563,2014,Apr,Swimming,Unprovoked,0
564,2014,Apr,Wading,Unprovoked,0
565,2014,Apr,Shark watching,Unprovoked,0
566,2014,Apr,Fishing,Provoked,0
567,2014,Apr,Surfing,Unprovoked,0
568,2014,Apr,Surfing,Unprovoked,0
569,2014,Apr,Swimming,Unprovoked,1
571,2014,Mar,Swimming,Unprovoked,1
572,2014,Mar,Kite Surfing,Unprovoked,0
573,2014,Mar,Surfing,Unprovoked,0
574,2014,Mar,Kite Surfing,Unprovoked,0
575,2014,Mar,Surfing,Unprovoked,0
577,2014,Mar,Swimming,Unprovoked,0
579,2014,Mar,Surfing,Unprovoked,0
580,2014,Feb,Kitesurfing,Unprovoked,0
581,2014,Feb,Sailing,Unprovoked,0
582,2014,Feb,Spearfishing / Free diving,Unprovoked,1
583,2014,Feb,Fishing,Provoked,0
584,2014,Feb,Surfing,Unprovoked,0
585,2014,Jan,Fishing,Provoked,0
586,2014,Jan,Spearfishing,Unprovoked,0
587,2014,Jan,Sea disaster,Unprovoked,0
588,2014,Unknown,Free diving / Photographing pilot whales,Unprovoked,0
589,2014,Unknown,Filming a documentary,Unprovoked,0
590,2013,Dec,Snorkeling,Unprovoked,0
591,2013,Dec,Surfing,Unprovoked,0
592,2013,Dec,Attempting to remove fishing net from submerged object,Unprovoked,0
593,2013,Dec,Boogie boarding,Unprovoked,0
594,2013,Dec,Surfing,Unprovoked,0
595,2013,Dec,Surfing,Unprovoked,0
596,2013,Dec,Kayaking / Fishing,Unprovoked,1
597,2013,Nov,Body boarding,Unprovoked,1
598,Nov2,29,Snorkeling,Unprovoked,0
599,2013,Nov,Surfing,Unprovoked,1
600,2013,Nov,Surfing,Unprovoked,0
601,2013,Nov,Surfing,Unprovoked,0
602,2013,Nov,Shark fishing,Provoked,0
603,2013,Nov,Body boarding,Unprovoked,0
604,2013,Nov,Surfing,Unprovoked,0
605,2013,Oct,Kiteboarding,Unprovoked,0
606,2013,Oct,Snorkeling,Unprovoked,0
607,2013,Oct,Body boarding,Unprovoked,0
608,2013,Oct,Diving for crayfish,Unprovoked,0
609,2013,Oct,Surfing,Unprovoked,0
610,2013,Oct,Diving ,Unprovoked,0
611,2013,Oct,Surfing,Unprovoked,0
612,2013,Oct,Wading,Unprovoked,0
613,2013,Oct,Swimming / snorkeling,Unprovoked,1
614,2013,Oct,Diving for Abalone,Unprovoked,0
615,2013,Oct,Surfing,Unprovoked,0
616,2013,Oct,Wading,Unprovoked,0
617,2013,Sep,Surfing,Unprovoked,0
618,2013,Sep,Diving,Unprovoked,0
619,2013,Sep,Standing,Unprovoked,0
620,2013,Sep,Swimming,Unprovoked,0
621,2013,Sep,Surfing,Unprovoked,0
622,2013,Sep,Swimming,Unprovoked,0
623,2013,Sep,Surfing,Unprovoked,0
625,2013,Sep,Surfing,Provoked,0
626,2013,Sep,Standing,Unprovoked,0
627,2013,Sep,Swimming,Unprovoked,0
630,2013,Sep,Casting a net,Unprovoked,0
631,2013,Aug,Spearfishing,Unprovoked,0
632,2013,Aug,Swimming,Unprovoked,0
634,2013,Aug,Longline fishing for sharks,Provoked,0
635,2013,Aug,Boogie boarding,Unprovoked,0
636,2013,Aug,Wrangling a shark,Unprovoked,0
637,2013,Aug,Surfing,Unprovoked,0
638,2013,Aug,Surfing,Unprovoked,0
639,2013,Aug,Snorkeling,Unprovoked,1
640,2013,Aug,Kiteboarding,Unprovoked,0
641,2013,Aug,Surfing,Unprovoked,0
642,2013,Aug,Attempting to free the shark,Unprovoked,0
643,2013,Aug,Fishing,Unprovoked,0
644,2013,Jul,Snorkeling,Unprovoked,0
645,2013,Jul,Swimming,Unprovoked,0
646,2013,Jul,Spearfishing,Unprovoked,0
647,2013,Jul,Wading,Unprovoked,0
648,2013,Jul,Surfing,Unprovoked,0
649,2013,Jul,Cleaning fish,Unprovoked,0
650,2013,Jul,Diving,Unprovoked,0
651,2013,Jul,Swimming,Unprovoked,1
652,2013,Jul,Walking in surf,Unprovoked,0
653,2013,Jul,Swimming ,Unprovoked,0
654,2013,Jul,Swimming & snorkeling,Unprovoked,1
655,2013,Jul,Swimming,Unprovoked,1
656,2013,Jul,Wading,Unprovoked,0
658,2013,Jul,Body surfing,Unprovoked,0
659,2013,Jun,Fishing,Unprovoked,0
