original order,Date,Type,Country,Area,Location,Activity,Age,Fatal (Y/N)
6164,30-May-2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,20,N
6163,28-May-2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,,N
6162,27-May-2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,73,N
6161,12-May-2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,41,N
6160,06-May-2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,29,N
6159,05-May-2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,33,Y
6158,03-May-2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,18,
6157,29-Apr-2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,,N
6156,29-Apr-2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,14,N
6155,29-Apr-2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,33,N
6154,29-Apr-2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,28,Y
6153,27-Apr-2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,20s,N
6152,26-Apr-2017,Invalid,USA,Florida,,Photo shoot,,
6151,22-Apr-2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,40,N
6150,20-Apr-2017,Invalid,USA,South Carolina,Georgetown County,Swimming,,
6149,17-Apr-2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",,,N
6148,17-Apr-2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,17,Y
6147,14-Apr-2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,28,N
6146,13-Apr-2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,17,N
6145,12-Apr-2017,Unprovoked,USA,Florida,St. Augustine,Surfing,,N
6144,12-Apr-2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,68,
6143,11-Apr-2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,35,N
6142,10-Apr-2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,10,N
6141,10-Apr-2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,21,N
6140,06-Apr-2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,16,N
6139,05-Apr-2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,51,N
6138,02-Apr-2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,39,N
6137,02-Apr-2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,17,N
6136,27-Mar-2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,58,N
6135,19-Mar-2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,30,N
6134,18-Mar-2017,Boating,USA,California,Monterey Bay,Kayaking,,N
6133,11-Mar-2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,25,N
6132,09-Mar-2017,Unprovoked,BAHAMAS,Great Exuma,,Washing hands,58,N
6131,25-Feb-2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,,N
6130,24-Feb-2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,,N
6129,21-Feb-2017,Unprovoked,REUNION,Saint-Andre,,Body boarding,26,Y
6128,17-Feb-2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,26,N
6127,11-Feb-2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,22,N
6126,06-Feb-2017,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,,N
6125,06-Feb-2017,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,,N
6124,01-Feb-2017,Boating,USA,South Carolina,16 miles off Hilton Head,Tagging sharks,,N
6123,01-Feb-2017,Unprovoked,BAHAMAS,Bimini,,Scuba Diving,37,N
6122,24-Jan-2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,21,N
6121,22-Jan-2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,Teen,N
6120,21-Jan-2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,55,N
6119,13-Jan-2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,57,N
6118,13-Jan-2017,Unprovoked,USA,Florida,Jensen Beach,,,N
6117,09-Jan-2017,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,48,N
6116,08-Jan-2017,Invalid,AUSTRALIA,Queensland,,Spearfishing,35,
6115,05-Jan-2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,47,N
6114,03-Jan-2017,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,20,
6113,27-Dec-2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,16,N
6112,24-Dec-2016,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,,N
6111,19-Dec-2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,55,N
6110,14-Dec-2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,61,N
6109,11-Dec-2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Fishing,40s,N
6108,11-Dec-2016,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,19,
6107,06-Dec-2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,20,N
6106,01-Dec-2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,65,N
6105,28-Nov-2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,73,N
6104,14-Nov-2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,58,N
6103,30-Oct-2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,41,N
6102,29-Oct-2016,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,42,N
6101,24-Oct-2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,36,N
6100,21-Oct-2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,36,N
6099,15-Oct-2016,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,,N
6098,14-Oct-2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,66,N
6097,13-Oct-2016,Invalid,MEXICO,,Guadalupe Island,Cage Diving,,
6096,12-Oct-2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,25,N
6095,10-Oct-2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,29,N
6094,02-Oct-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,21,N
6093,01-Oct-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,32,N
6092,26-Sep-2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,17,N
6091,18-Sep-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,16,N
6090,18-Sep-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,36,N
6089,18-Sep-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,43,N
6088,17-Sep-2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,43,N
6087,17-Sep-2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,,N
6086,16-Sep-2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,,N
6085,15-Sep-2016,Boating,AUSTRALIA,Western Australia,Bunbury,Fishing,,N
6084,11-Sep-2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,60s,N
6083,07-Sep-2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,51,N
6082,06-Sep-2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,50,Y
6081,05-Sep-2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,12,N
6080,05-Sep-2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,,N
6079,04-Sep-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,9,N
6078,01-Sep-2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,22,N
6077,Sep-2016,Invalid,MEXICO,,Guadalupe Island,Cage Diving,,
6076,29-Aug-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,25,N
6075,29-Aug-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,37,N
6074,27-Aug-2016,Unprovoked,REUNION,,Boucan Canot,Surfing,20,N
6073,25-Aug-2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,49,N
6072,07-Aug-2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,15,N
6071,06-Aug-2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,21,N
6070,04-Aug-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,22,N
6069,29-Jul-2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,40,N
6068,28-Jul-2016,Unprovoked,CHINA,Hong Kong,,Swimming,72,N
6067,28-Jul-2016,Boating,AUSTRALIA,Western Australia,Near Albany,Kayaking,,N
6066,27-Jul-2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,43,N
6065,26-Jul-2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,18,N
6064,24-Jul-2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,29,N
6063,23-Jul-2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,36,N
6062,23-Jul-2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,,N
6061,20-Jul-2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,31,N
6060,17-Jul-2016,Boating,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,,N
6059,16-Jul-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,9,N
6058,16-Jul-2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,11,N
6057,15-Jul-2016,Unprovoked,USA,California,"Surfside, Orange County",Kite surfing,61,N
6056,15-Jul-2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,,N
6055,14-Jul-2016,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,,N
6054,08-Jul-2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,10,N
6053,08-Jul-2016,Boating,USA,California,"Capitola, Santa Cruz County",Fishing for squid,,N
6052,07-Jul-2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,59,N
6051,07-Jul-2016,Boating,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,,N
6050,06-Jul-2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,42,N
6049,04-Jul-2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,34,N
6048,27-Jun-2016,Unprovoked,USA,South Carolina,Sullivan's Island,,35,N
6047,25-Jun-2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,11,N
6046,24-Jun-2016,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,59,N
6045,23-Jun-2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,43,N
6044,21-Jun-2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,42,N
6043,21-Jun-2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,,N
6042,15-Jun-2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,,N
6041,15-Jun-2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,19,N
6040,14-Jun-2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,6,N
6039,11-Jun-2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,19,N
6038,07-Jun-2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,27,
6037,05-Jun-2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,64,N
6036,05-Jun-2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,60,Y
6035,04-Jun-2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,23,N
6034,02-Jun-2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,,
