Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
2018.05.12,2018-05-12 00:00:00,Unprovoked,South africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"Minor injury, marks on board",N,"B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,6288.0
2018.05.09,2018-05-09 00:00:00,Unprovoked,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"No injury, surfboard damaged",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,6287.0
2018.04.30.R,2018-04-30 00:00:00,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,Minor injury to ankle,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,6286.0
2018.04.28.b,2018-04-28 00:00:00,Unprovoked,Costa rica,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",N,Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,6285.0
2018.04.28.a,2018-04-28 00:00:00,Unprovoked,Australia,Western Australia,Gearys Beach,Surfing,M,"No injury, knocked off board by shark",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,6284.0
2018.04.25.b,2018-04-25 00:00:00,Unprovoked,Australia,New South Wales,Lennox Head,Surfing,M,No injury,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,6283.0
2018.04.25.a,2018-04-25 00:00:00,Unprovoked,Australia,Western Australia,"Surfers Point, Prevelly",Surfing,M,"No injury, knocked off board by shark",N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,6282.0
2018.04.24,2018-04-24 00:00:00,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,"No injury, shark struck his leg",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,6281.0
2018.04.23,2018-04-23 00:00:00,Unprovoked,Maldives,Alifu Alifu Atoll,Madoogali,Fishing,M,5-inch cut to hand,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,6280.0
2018.04.22,2018-04-22 00:00:00,Unprovoked,South africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,"No injury, shark bit hole in ski",N,"Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,6279.0
2018.04.19,2018-04-19 00:00:00,Unprovoked,Usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,Lacerations to right lower leg,N,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,6278.0
2018.04.15.d,2018-04-15 00:00:00,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,Lacerations to foot and ankle,N,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,6277.0
2018.04.15.c,2018-04-15 00:00:00,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",N,"Globo, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,6276.0
2018.04.15.b,2018-04-15 00:00:00,Unprovoked,Australia,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,Laceration to right thigh,N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,6275.0
2018.04.15.a,2018-04-15 00:00:00,Unprovoked,Australia,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,Lacerations to legs,N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,6274.0
2018.04.14,2018-04-14 00:00:00,Unprovoked,Bahamas,New Providence,Nirvana Beach,Surfing,M,No Injury. Shark swam away with the surf board,N,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,6273.0
2018.04.10.R,2018-04-10 00:00:00,Provoked,Brazil,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,6272.0
2018.04.09,2018-04-09 00:00:00,Unprovoked,New caledonia,No Data,"Magenta Beach, Noumea",Windsurfing,No Data,"No injury, shark bit board",N,"Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,6271.0
2018.04.05,2018-04-05 00:00:00,Unprovoked,Bahamas,No Data,Bimini,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,6270.0
2018.04.03,2018-04-03 00:00:00,Unprovoked,South africa,Eastern Cape Province,St. Francis Bay,Surfing,M,Lacerations to left knee & lower leg,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,6269.0
2018.03.31,2018-03-31 00:00:00,Unprovoked,Usa,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,"Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,6268.0
2018.03.14,2018-03-14 00:00:00,Unprovoked,Australia,Western Australia,Waterman's Bay,Wading,M,Minor injuries to legs,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,6267.0
2018.03.09.b,2018-03-09 00:00:00,Unprovoked,Australia,Victoria,Lorne,Swimming,M,"No injury, said to have been charged by sharks several times",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,6266.0
2018.03.09.a,2018-03-09 00:00:00,Unprovoked,Australia,Victoria,Winkipop,Surfing,M,"Minor injury, ankle grazed",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,6265.0
2018.02.24,2018-02-24 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Durban,Scuba Diving,M, The shark & man simply collided; neither were injured,N,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,6264.0
2018.02.23,2018-02-23 00:00:00,Unprovoked,Australia,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,Laceratons to right leg & foot,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,6263.0
2018.02.17,2018-02-18 00:00:00,Provoked,Australia,Victoria,Westernport Bay,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,6262.0
2018.02.15,2018-02-15 00:00:00,Unprovoked,Australia,New South Wales,"Surf Beach, Kiama",Walking,M,Puncture wounds to leff foot & lower leg,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,6261.0
2018.02.14,2018-02-14 00:00:00,Provoked,Australia,Queensland,Mooloolaba Beach,Swimming,F,"Collision / No injury, no attack",N,"Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,6260.0
2018.02.11,2018-02-11 00:00:00,Provoked,Brazil,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,Lacerations to 4 toes of right foot,N,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,6259.0
2018.02.03,2018-02-03 00:00:00,Unprovoked,Ecuador,Galapagos Islands,Santa Fe Island,Snorkeling,M,Injuries to right foot,N,"The Standard (UK), 2/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,6258.0
2018.02.01,2018-02-01 00:00:00,Provoked,Australia,Western Australia,"Avalon Point, Manurah",Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,"The West Australian, 2/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,6257.0
2018.01.28,2018-01-28 00:00:00,Unprovoked,Australia,Western Australia,Cone Bay,No Data,M,Injuries to right leg,N,"ABC.net.au, 01/28/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,6256.0
2018.01.21,2018-01-21 00:00:00,Unprovoked,New caledonia,No Data,Nouville,Spearfishing,M,Injuries to abdomen and arm,N,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,6255.0
2018.01.14,2018-01-14 00:00:00,Unprovoked,Australia,Queensland,Lizard Island,Diving,M,Severe laceration to left forearm,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,6254.0
2018.01.13,2018-01-13 00:00:00,Unprovoked,Australia,New South Wales,Martin Islet,Free diving,M,"No injury, shark took his swimfin",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,6253.0
2018.01.12,2018-01-12 00:00:00,Unprovoked,Brazil,Fernando de Noronha,Conceicao Beach,Surfing,M,Minor injury to left forearm,N,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,6252.0
2018.01.05,2018-01-05 00:00:00,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,Foot bitten,N,"Perth Now, 1/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,6251.0
2017.12.31,2017-12-31 00:00:00,Unprovoked,Usa,Hawaii,"Hultin's Beach, Oahu",Surfing,F,Severe lacerations to left thigh & knee,N,"J. Howard, Surfling Now, 1/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,6250.0
2017.12.30,2017-12-30 00:00:00,Unprovoked,Usa,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,Foot bitten,N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,6249.0
2017.12.21,2017-12-21 00:00:00,Provoked,Malaysia,Sepang,Bagan Lalang Beach,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,6248.0
2017.12.09,2017-12-09 00:00:00,Unprovoked,Bahamas,No Data,No Data,Snorkeling,F,Minor injury to arm,N,"Daily Star, 12/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,6247.0
2017.11.30.b,2017-11-30 00:00:00,Unprovoked,Costa rica,Cocos Island,Manuelita,Scuba Diving,M,Serious injury to leg,N,R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,6246.0
2017.11.30.a,2017-11-30 00:00:00,Unprovoked,Costa rica,Cocos Island,Manuelita,Scuba diving,F,FATAL,Y,R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,6245.0
2017.11.25.R,2017-11-25 00:00:00,Unprovoked,Libya,No Data, Gars Garabulli,2 boats capsized,No Data,FATAL,Y,"TG Com 24, 11/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,6244.0
2017.11.24,2017-11-24 00:00:00,Unprovoked,Usa,California,"Stillwater Cove, Monterey County",Spearfishing,M,Right leg bitten,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,6243.0
2017.11.18,2017-11-18 00:00:00,Unprovoked,Usa,Florida,"Floridana Beach, Brevard County",Surfing,F,Heel bitten,N,"Florida Today, 11/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,6242.0
2017.11.13.R,2017-11-13 00:00:00,Unprovoked,No Data,No Data,No Data,Surfing,M,Puncture wounds to feet,N,Instagram,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,6241.0
2017.11.13,2017-11-13 00:00:00,Unprovoked,Australia,New South Wales,Avoca Beach,Surfing,M,Puncture wounds to left shoulder,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,6240.0
2017.11.04,2017-11-04 00:00:00,Unprovoked,Cuba,Holquin Province,Guardalavaca Beach,Night bathing,M,FATAL,Y,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,6239.0
2017.10.31.R,2017-10-31 00:00:00,Unprovoked,Australia,Queensland,Magnetic Island,Snorkeling,M,Calf injured,N,"Townsville Bulletin, 10/31/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf,6238.0
2017.10.28,2017-10-28 00:00:00,Unprovoked,Australia,New South Wales,Birubi Point,Surfing,M,Minor injury to foot,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,6237.0
2017.10.26,2017-10-26 00:00:00,Unprovoked,Usa,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,"Hawaii News Now, 10/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf,6236.0
2017.10.23.c,2017-10-23 00:00:00,Unprovoked,Mauritius,Pamplemousses ,Le Goulet,Swimming,M,Minor injury to foot,N,"J. LeBlanc, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,6235.0
2017.10.23.b,2017-10-23 00:00:00,Unprovoked,Usa,Florida,"Juno Beach, Palm Beach County",Surfing ,M,Lacerations to left foot,N,"WPBF News, 10/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,6234.0
2017.10.23.a,2017-10-23 00:00:00,Unprovoked,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,Severe lacerations to left hand & wrist,N,"Palm Beach Post, 11/1/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,6233.0
2017.10.22,2017-10-22 00:00:00,Unprovoked,Australia,South Australia,Normanville,Kayaking / Fishing,F,Minor injuries,N,"Nine News, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,6232.0
2017.10.21,2017-10-21 00:00:00,Unprovoked,New zealand,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,"No injury, shark shook kayak x3 ",N,"New Zealand Herald, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf,6231.0
2017.10.18,2017-10-18 00:00:00,Unprovoked,Usa,Florida,"Lantana Beach, Palm Beach County",Swimming,M,Puncture wounds & lacerations to foot,N,"WPTV, 10/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf,6230.0
2017.10.09,2017-10-09 00:00:00,Unprovoked,Usa,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,Lacerations to left hand,N,"Hawaii News Now, 10/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf,6229.0
2017.10.05,2017-10-05 00:00:00,Unprovoked,Usa,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,Abrasions,N,"Maui Now, 10/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf,6228.0
2017.10.01,2017-10-01 00:00:00,Provoked,South africa,Western Cape Province,Dyer Island,Scuba Diving,M,FATAL,N,"All Africa, 10/11/2017 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf,6227.0
2017.09.25.b,2017-09-25 00:00:00,Unprovoked,Usa,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,Lacerations to lower left leg and foot,N,"News4Jax, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf,6226.0
2017.09.25.a,2017-09-25 00:00:00,Unprovoked,Australia,Western Australia,Gracetown,Surfing,M,"No injury, board damaged by shark",N,"Stab Magazine, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf,6225.0
2017.09.24.b,2017-09-24 00:00:00,Provoked,Usa,New York,Rockaway,Surfing,M,"Lacerations to right ankle, foot & toe",N,"S. Curatolo-Wageman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf,6224.0
2017.09.24.a,2017-09-24 00:00:00,Unprovoked,Usa,Florida,Fort Worth,Surfing,M,Laceration to upper arm,N,"Sun Sentinel, 9/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf,6223.0
2017.09.20,2017-09-20 00:00:00,Unprovoked,Usa,Florida,Palm Beach County,Surfing,M,Minor lacerations to sole of left foot,N,"WPTV, 9/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf,6222.0
2017.09.16.b,2017-09-16 00:00:00,Unprovoked,Spain,Canary Islands,Gran Canaria ,Body surfing,M,Lacerations to right foot,N,Turismo La Aldea,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf,6221.0
2017.09.16.a,2017-09-16 00:00:00,Unprovoked,Usa,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,"Orlando Sentinel, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf,6220.0
2017.09.15.b,2017-09-15 00:00:00,Provoked,South africa,Western Cape Province,Hawston,Scuba Diving,M,"FATAL, but death was probably due to drowning",N,"Ground Up, 9/20/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf,6219.0
2017.09.15.a,2017-09-15 00:00:00,Unprovoked,Samoa, Upolu Island,Nofoalii,Fishing,M,Injuries to hands and legs,N,"Samoa Observer, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf,6218.0
2017.09.14,2017-09-01 00:00:00,Provoked,Australia,Westerm Australia,Esperance,Fishing,No Data,"sharks rammed boats, no injury to occupants",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf,6217.0
2017.09.13,2017-09-13 00:00:00,Unprovoked,Usa,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,"TrackingSharks.com, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf,6216.0
2017.09.10.b,2017-09-10 00:00:00,Unprovoked,Australia,Westerm Australia,Sam's Creek area,Swimming,M,Minor injuries,N,"West Australian, 9/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf,6215.0
2017.09.10.a,2017-09-10 00:00:00,Unprovoked,Australia,New South Wales,Iluka Beach,Surfing,M,Minor lacerations to right hip,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf,6214.0
2017.09.06.R,2017-09-06 00:00:00,Unprovoked,Solomon islands,No Data,Owarigi Island,Spearfishing,M,Foot bitten,N,BBC,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.06-Bartholomew.pdf,6213.0
2017.09.03.b,2017-09-03 00:00:00,Unprovoked,South africa,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,FATAL,Y,"All Africa, 10/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf,6212.0
2017.09.03.a,2017-09-03 00:00:00,Unprovoked,Japan,Shizuoka Prefecture,Iwata City,Surfing,M,Injury to ankle & feet,N,"Japan Today, 9/4/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf,6211.0
2017.09.02.c,2017-09-02 00:00:00,Unprovoked,Usa,Florida,"Marathon, Monroe County",Swimming,M,Lacerations to abdomen,N,NewsFlare,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf,6210.0
2017.09.02.b,2017-09-02 00:00:00,Unprovoked,Usa,Texas,"South Padre Island, Cameron County",Swimming,F,Lacerations to foot,N,"Brownsville Herald, 9/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf,6209.0
2017.09.02.a,2017-09-02 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to right hand,N,"Click Orlando, 9/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf,6208.0
2017.08.29,2017-08-29 00:00:00,Unprovoked,Australia,Victoria,Cathedral Rock,Surfing,M,"No injury, board bitten",N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Brundler.pdf,6207.0
2017.08.27,2017-08-27 00:00:00,Unprovoked,Usa,Florida,Bathtub Beach ,Wading,F,Leg injured,N,"Sun Sentinel, 8/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf,6206.0
2017.08.26.b,2017-08-26 00:00:00,Provoked,Spain,Castellón,Grao de Moncofa,Swimming,F,Lacerations to left foot,N,"El Periodico Mediterraneo, 8/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf,6205.0
2017.08.26.a,2017-08-26 00:00:00,Unprovoked,New zealand,North Island,Off Tutukaka,Canoeing,M,"No injury, shark bit canoe",N,"C.Black, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf,6204.0
2017.08.23,2017-08-23 00:00:00,Unprovoked,Usa,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,Not injured by shark but board bitten,N,"Cape Cod Times, 8/23/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf,6203.0
2017.08.18,2017-08-18 00:00:00,Unprovoked,Bahamas,No Data,No Data,Spearfishing,M,Hand injured,N,"CBS12, 8/18/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.18-JupiterDiver.pdf,6202.0
